ko_id	median_expression_rank	genomes_w_ko	genomes_w_motif	genomes_w_str_motif	percent_genomes_w_ko	avg_motifs_100aa_gc	avg_str_motifs_100aa_gc	a_level	b_level	c_level	description
K00020	1941	1945	20.71979434	8.123393316	59.80934809	0.001204041	0.000404975	Metabolism	Amino acid metabolism	"Valine, leucine and isoleucine degradation"	"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase"
K00023	755	947	6.652587117	3.379091869	29.12054121	0.000770449	0.000389356	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	phbB; acetoacetyl-CoA reductase
K00024	247	2491	7.707747892	1.44520273	76.59901599	0.00067873	9.59E-05	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	mdh; malate dehydrogenase
K00027	871	1359	33.6276674	9.124356144	41.7896679	0.00145941	0.000282876	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)"
K00029	593	1671	50.74805506	9.036505087	51.38376384	0.000926376	0.000152156	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
K00031	143.5	2839	14.89961254	2.359985911	87.300123	0.000517252	7.28E-05	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	"IDH1, IDH2, icd; isocitrate dehydrogenase"
K00033	630	2050	19.75609756	6.390243902	63.03813038	0.001070174	0.000323887	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase"
K00036	766	2269	91.44997796	53.01895108	69.77244772	0.007702461	0.002402072	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase"
K00042	1684	943	18.76988335	8.483563097	28.99753998	0.001317766	0.000533134	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	"garR, glxR; 2-hydroxy-3-oxopropionate reductase"
K00046	1875	1142	18.30122592	4.903677758	35.11685117	0.001702094	0.00042593	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	idnO; gluconate 5-dehydrogenase
K00050	2412.5	905	72.0441989	37.67955801	27.82902829	0.006243612	0.002496808	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	ttuD; hydroxypyruvate reductase
K00052	705	2912	21.56593407	5.803571429	89.54489545	0.001436993	0.000339419	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism	"leuB, IMDH; 3-isopropylmalate dehydrogenase"
K00053	83	2934	38.37764145	12.30402181	90.22140221	0.003425997	0.001182251	Metabolism	Amino acid metabolism	"Valine, leucine and isoleucine biosynthesis"	ilvC; ketol-acid reductoisomerase
K00057	1529.5	3179	19.91192199	4.089336269	97.75522755	0.001616501	0.000331456	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)
K00058	915	3009	44.2671984	19.50814224	92.52767528	0.002986012	0.001214558	Metabolism	Energy metabolism	Methane metabolism	"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase"
K00059	1837.5	3182	46.85732244	36.51791326	97.84747847	0.002786094	0.001777344	Metabolism	Lipid metabolism	Fatty acid biosynthesis	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase"
K00060	692	876	51.71232877	27.96803653	26.93726937	0.004581654	0.002457121	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	tdh; threonine 3-dehydrogenase
K00065	1899	996	8.935742972	2.610441767	30.62730627	0.000979603	0.000240846	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
K00067	2382	2360	30.25423729	11.18644068	72.57072571	0.002975296	0.000980067	Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis	"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase"
K00074	1114	2075	43.3253012	18.93975904	63.80688807	0.003921409	0.001300541	Metabolism	Carbohydrate metabolism	Butanoate metabolism	"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase"
K00075	1726.5	3163	30.76193487	12.17198862	97.26322263	0.003199026	0.001197518	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	murB; UDP-N-acetylmuramate dehydrogenase
K00077	2369.5	1844	40.94360087	13.77440347	56.70356704	0.00313203	0.000822918	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	"panE, apbA; 2-dehydropantoate 2-reductase"
K00088	552.5	3206	15.31503431	6.550218341	98.58548585	0.000536587	0.000189938	Metabolism	Nucleotide metabolism	Purine metabolism	"IMPDH, guaB; IMP dehydrogenase"
K00097	2034	2160	39.86111111	14.81481481	66.42066421	0.003211052	0.001027118	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase
K00099	1930.5	2760	39.89130435	11.66666667	84.87084871	0.002516683	0.000653155	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase
K00100	1648	1675	45.25373134	17.79104478	51.50676507	0.003631155	0.000841756	Metabolism	Carbohydrate metabolism	Butanoate metabolism	bdhAB; butanol dehydrogenase
K00101	1350	1197	91.97994987	20.96908939	36.80811808	0.005778729	0.001003704	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	lldD; L-lactate dehydrogenase (cytochrome)
K00104	1249	1813	68.61555433	49.69663541	55.7503075	0.003455482	0.002256124	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	glcD; glycolate oxidase
K00108	1535	1235	49.55465587	25.10121457	37.97662977	0.001374261	0.000552958	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	"betA, CHDH; choline dehydrogenase"
K00111	1408	2431	42.20485397	22.21308104	74.75399754	0.001446623	0.000581967	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	"glpA, glpD; glycerol-3-phosphate dehydrogenase"
K00116	723.5	859	93.01513388	75.669383	26.41451415	0.004089652	0.002876685	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	mqo; malate dehydrogenase (quinone)
K00121	625.5	1592	35.74120603	16.45728643	48.95448954	0.002184043	0.000920476	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase"
K00123	650	1598	72.84105131	44.93116395	49.13899139	0.00117623	0.000515991	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	"fdoG, fdhF, fdwA; formate dehydrogenase major subunit"
K00124	1070	1203	72.56857855	23.02576891	36.99261993	0.006782734	0.001912264	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
K00127	1882	980	48.16326531	17.75510204	30.13530135	0.009256919	0.003024812	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	"fdoI, fdsG; formate dehydrogenase subunit gamma"
K00128	1255	2244	67.06773619	19.65240642	69.00369004	0.001877099	0.000331256	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ALDH; aldehyde dehydrogenase (NAD+)
K00130	1116	1110	48.37837838	17.83783784	34.13284133	0.001859842	0.000465411	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	"betB, gbsA; betaine-aldehyde dehydrogenase"
K00133	520.75	3177	9.789109223	2.4866226	97.69372694	0.000718242	0.000203212	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	asd; aspartate-semialdehyde dehydrogenase
K00134	237	3241	11.69392163	4.257945079	99.66174662	0.000748518	0.000251811	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase"
K00135	1073	2301	49.97827032	19.42633638	70.75645756	0.001455126	0.000375624	Metabolism	Carbohydrate metabolism	Butanoate metabolism	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
K00138	385	1256	69.74522293	7.563694268	38.62238622	0.003633224	0.000256892	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	aldB; aldehyde dehydrogenase
K00140	528.5	1631	31.69834457	6.131207848	50.15375154	0.000989652	0.000156363	Metabolism	Carbohydrate metabolism	Propanoate metabolism	"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase"
K00145	1662	2911	20.26794916	5.084163518	89.51414514	0.001776352	0.000406187	Metabolism	Amino acid metabolism	Arginine biosynthesis	argC; N-acetyl-gamma-glutamyl-phosphate reductase
K00147	1089.5	2844	16.70182841	2.074542897	87.45387454	0.000895479	9.27E-05	Metabolism	Amino acid metabolism	Arginine and proline metabolism	proA; glutamate-5-semialdehyde dehydrogenase
K00156	1199	835	97.84431138	24.5508982	25.67650677	0.00437277	0.000613898	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	poxB; pyruvate dehydrogenase (quinone)
K00161	795	2214	42.90876242	20.64137308	68.08118081	0.003230879	0.00130484	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit"
K00162	695.5	2203	37.72128915	24.33045847	67.74292743	0.002611226	0.001452815	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit"
K00163	229.5	1565	65.04792332	25.36741214	48.12423124	0.000990998	0.000286049	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	aceE; pyruvate dehydrogenase E1 component
K00164	323.5	2297	48.36743579	20.8532869	70.63345633	0.000647086	0.000235008	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component"
K00174	677	1187	48.02021904	15.50126369	36.50061501	0.002396475	0.000527258	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha"
K00175	587	1186	25.46374368	7.672849916	36.4698647	0.002300196	0.000498011	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta"
K00208	714	2276	9.841827768	4.657293497	69.98769988	0.00098555	0.000481939	Metabolism	Lipid metabolism	Fatty acid biosynthesis	fabI; enoyl-[acyl-carrier protein] reductase I
K00215	1548	3124	11.93982074	6.306017926	96.06396064	0.00150274	0.000666418	Metabolism	Amino acid metabolism	Lysine biosynthesis	dapB; 4-hydroxy-tetrahydrodipicolinate reductase
K00219	1242	914	50.54704595	17.0678337	28.10578106	0.001348723	0.000397352	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	"fadH; 2,4-dienoyl-CoA reductase (NADPH2)"
K00228	1406	1576	98.0964467	5.520304569	48.46248462	0.013921253	0.000560529	Metabolism	Metabolism of cofactors and vitamins	Porphyrin and chlorophyll metabolism	"CPOX, hemF; coproporphyrinogen III oxidase"
K00231	2237	1043	66.63470757	30.39309684	32.07257073	0.004584139	0.001387149	Metabolism	Metabolism of cofactors and vitamins	Porphyrin and chlorophyll metabolism	"PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase"
K00239	223	2719	54.72600221	23.7219566	83.6100861	0.001484256	0.000534748	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit"
K00240	409	2687	30.44287309	17.11946409	82.62607626	0.005688107	0.003480292	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit"
K00241	1637.5	2637	11.94539249	2.46492226	81.08856089	0.003321022	0.000592961	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
K00242	1155	1586	5.296343001	1.008827238	48.7699877	0.002350246	0.000514547	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
K00243	1110	941	18.38469713	3.081827843	28.93603936	0.002796494	0.000455497	Unclassified	Poorly characterized	Function unknown	K00243; uncharacterized protein
K00248	832	843	25.02965599	13.99762752	25.92250923	0.000991296	0.00043928	Metabolism	Carbohydrate metabolism	Propanoate metabolism	"ACADS, bcd; butyryl-CoA dehydrogenase"
K00249	998	1363	59.72120323	27.73294204	41.91266913	0.001907636	0.000548108	Metabolism	Lipid metabolism	Fatty acid degradation	"ACADM, acd; acyl-CoA dehydrogenase"
K00252	593	1634	18.11505508	2.386780906	50.24600246	0.000798896	9.76E-05	Metabolism	Lipid metabolism	Fatty acid degradation	"GCDH, gcdH; glutaryl-CoA dehydrogenase"
K00253	428	875	8.914285714	2.171428571	26.90651907	0.000542365	0.000112031	Metabolism	Amino acid metabolism	"Valine, leucine and isoleucine degradation"	"IVD, ivd; isovaleryl-CoA dehydrogenase"
K00254	1859.5	2228	27.96229803	10.09874327	68.51168512	0.002315838	0.000758538	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	"DHODH, pyrD; dihydroorotate dehydrogenase"
K00257	870	1796	48.44097996	22.77282851	55.22755228	0.001243458	0.000404361	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	"mbtN, fadE14; acyl-ACP dehydrogenase"
K00259	994.5	2213	26.93176683	9.218255761	68.0504305	0.002579643	0.000628345	Metabolism	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	ald; alanine dehydrogenase
K00261	924.5	1070	21.12149533	5.046728972	32.90282903	0.000886903	0.000206468	Metabolism	Energy metabolism	Nitrogen metabolism	"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)"
K00262	409.5	1505	1.993355482	0.863787375	46.27921279	7.18E-05	2.94E-05	Metabolism	Energy metabolism	Nitrogen metabolism	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)"
K00263	947	886	10.27088036	2.595936795	27.24477245	0.000734203	0.000168122	Metabolism	Amino acid metabolism	"Valine, leucine and isoleucine degradation"	E1.4.1.9; leucine dehydrogenase
K00265	348	2246	100	96.88334817	69.06519065	0.001934338	0.000490999	Metabolism	Energy metabolism	Nitrogen metabolism	gltB; glutamate synthase (NADPH) large chain
K00266	654	2726	75.31181218	38.9214967	83.82533825	0.003644726	0.001187732	Metabolism	Energy metabolism	Nitrogen metabolism	gltD; glutamate synthase (NADPH) small chain
K00274	2180.5	902	79.37915743	37.58314856	27.73677737	0.006425247	0.001871433	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	"MAO, aofH; monoamine oxidase"
K00275	2271.5	2138	53.55472404	10.33676333	65.74415744	0.011304677	0.001964071	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism	"pdxH, PNPO; pyridoxamine 5'-phosphate oxidase"
K00278	1559	2230	40.2690583	15.78475336	68.57318573	0.001725974	0.000636941	Metabolism	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	nadB; L-aspartate oxidase
K00281	531	1843	83.45089528	24.47097124	56.67281673	0.001904244	0.000313311	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	"GLDC, gcvP; glycine dehydrogenase"
K00282	884	862	59.28074246	24.47795824	26.50676507	0.003494542	0.001164819	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	gcvPA; glycine dehydrogenase subunit 1
K00283	736	859	64.26076834	10.94295693	26.41451415	0.003316478	0.000389447	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	gcvPB; glycine dehydrogenase subunit 2
K00285	2177	1490	55.5704698	32.14765101	45.81795818	0.002734202	0.001081662	Metabolism	Amino acid metabolism	Phenylalanine metabolism	dadA; D-amino-acid dehydrogenase
K00286	1693	3119	21.06444373	6.412311638	95.9102091	0.002694504	0.000713814	Metabolism	Amino acid metabolism	Arginine and proline metabolism	proC; pyrroline-5-carboxylate reductase
K00287	1977	2360	19.3220339	3.983050847	72.57072571	0.005951716	0.001011232	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis	"DHFR, folA; dihydrofolate reductase"
K00294	437	982	82.28105906	19.9592668	30.19680197	0.003969908	0.000776395	Metabolism	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase
K00297	1225	2525	96.43564356	36.31683168	77.64452645	0.01356804	0.003135008	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	"metF, MTHFR; methylenetetrahydrofolate reductase (NADPH)"
K00299	2637	1029	24.68415938	7.871720117	31.64206642	0.004372564	0.001212664	Metabolism	Energy metabolism	Sulfur metabolism	ssuE; FMN reductase
K00303	1216	951	45.74132492	14.82649842	29.24354244	0.001991052	0.000574801	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	"soxB; sarcosine oxidase, subunit beta"
K00311	474	1072	65.95149254	18.93656716	32.96432964	0.002816683	0.000678507	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	ETFDH; electron-transferring-flavoprotein dehydrogenase
K00318	1464.5	974	18.89117043	11.90965092	29.95079951	0.001546157	0.000927306	Metabolism	Amino acid metabolism	Arginine and proline metabolism	"PRODH, fadM, putB; proline dehydrogenase"
K00324	1260.5	1709	71.26974839	49.50263312	52.55227552	0.009087815	0.003117674	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha
K00325	513	1712	10.04672897	2.628504673	52.64452645	0.000362633	0.00010008	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	pntB; H+-translocating NAD(P) transhydrogenase subunit beta
K00330	1483	2066	5.179090029	2.323330106	63.5301353	0.002462632	0.000998215	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoA; NADH-quinone oxidoreductase subunit A
K00331	1306.5	2079	99.18229918	6.397306397	63.9298893	0.029025511	0.001785676	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoB; NADH-quinone oxidoreductase subunit B
K00332	1269.5	1875	30.82666667	23.62666667	57.65682657	0.010090171	0.006497084	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoC; NADH-quinone oxidoreductase subunit C
K00333	405	1888	84.90466102	42.53177966	58.05658057	0.006989562	0.002327615	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoD; NADH-quinone oxidoreductase subunit D
K00334	1337.5	2066	33.25266215	14.03678606	63.5301353	0.007572281	0.002490563	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoE; NADH-quinone oxidoreductase subunit E
K00335	469	2100	98.52380952	8.952380952	64.57564576	0.005109815	0.000373233	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoF; NADH-quinone oxidoreductase subunit F
K00336	656	2096	64.50381679	40.83969466	64.45264453	0.00231387	0.00093721	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoG; NADH-quinone oxidoreductase subunit G
K00337	432.5	2102	63.93910561	13.13035205	64.63714637	0.005745967	0.000788377	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoH; NADH-quinone oxidoreductase subunit H
K00338	925	2039	34.47768514	15.98822952	62.699877	0.014544644	0.006193968	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoI; NADH-quinone oxidoreductase subunit I
K00339	1238.5	2063	19.53465826	8.385845856	63.43788438	0.003913323	0.001717653	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoJ; NADH-quinone oxidoreductase subunit J
K00340	824	2055	1.265206813	0.681265207	63.19188192	0.000814239	0.000431278	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoK; NADH-quinone oxidoreductase subunit K
K00341	539	2051	48.07411019	8.386153096	63.06888069	0.001319618	0.000174597	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoL; NADH-quinone oxidoreductase subunit L
K00342	598	2118	26.53446648	10.52880076	65.12915129	0.001012882	0.00036148	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoM; NADH-quinone oxidoreductase subunit M
K00343	895	2075	77.34939759	10.89156627	63.80688807	0.003240617	0.000371006	Metabolism	Energy metabolism	Oxidative phosphorylation	nuoN; NADH-quinone oxidoreductase subunit N
K00344	2314	1943	71.33299022	43.54091611	59.74784748	0.006475309	0.003028429	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	"qor, CRYZ; NADPH:quinone reductase"
K00356	1561	950	31.26315789	10	29.21279213	0.003489484	0.000999814	Unclassified	NA	NA	NA
K00362	740	1404	64.6011396	7.54985755	43.17343173	0.001250226	0.000128553	Metabolism	Energy metabolism	Nitrogen metabolism	nirB; nitrite reductase (NADH) large subunit
K00363	2561	1294	10.51004637	3.941267388	39.79089791	0.005788246	0.002110475	Metabolism	Energy metabolism	Nitrogen metabolism	nirD; nitrite reductase (NADH) small subunit
K00372	1913.5	1083	81.53277932	53.18559557	33.30258303	0.002164642	0.001079408	Metabolism	Energy metabolism	Nitrogen metabolism	nasA; assimilatory nitrate reductase catalytic subunit
K00375	3010	1604	82.16957606	55.79800499	49.32349323	0.006927207	0.00266087	Genetic Information Processing	Transcription factors	Transcription factors	K00375; GntR family transcriptional regulator / MocR family aminotransferase
K00380	1831	1006	76.73956262	57.95228628	30.93480935	0.003459117	0.001719217	Metabolism	Energy metabolism	Sulfur metabolism	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component
K00381	600	1297	76.94680031	32.99922899	39.88314883	0.002712558	0.001108688	Metabolism	Energy metabolism	Sulfur metabolism	cysI; sulfite reductase (NADPH) hemoprotein beta-component
K00382	459	3021	52.5653757	23.27044025	92.89667897	0.001328179	0.000475859	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase"
K00383	1061	1363	47.24871607	5.062362436	41.91266913	0.002536264	0.000202503	Metabolism	Metabolism of other amino acids	Glutathione metabolism	"GSR, gor; glutathione reductase (NADPH)"
K00384	924	3223	32.67142414	14.55165994	99.10824108	0.001637735	0.000379196	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	"trxB, TRR; thioredoxin reductase (NADPH)"
K00389	2942.5	935	27.59358289	13.90374332	28.75153752	0.018140314	0.008385228	Unclassified	Poorly characterized	General function prediction only	yidH; putative membrane protein
K00390	1556	2227	16.03053435	6.017063314	68.48093481	0.002429483	0.000875551	Metabolism	Energy metabolism	Sulfur metabolism	cysH; phosphoadenosine phosphosulfate reductase
K00404	544	1021	17.23800196	4.30950049	31.39606396	0.000685217	0.000146373	Metabolism	Energy metabolism	Oxidative phosphorylation	ccoN; cytochrome c oxidase cbb3-type subunit I
K00405	971	1003	21.73479561	6.979062812	30.84255843	0.004088745	0.001262542	Metabolism	Energy metabolism	Oxidative phosphorylation	ccoO; cytochrome c oxidase cbb3-type subunit II
K00406	1101	1278	52.4256651	9.467918623	39.29889299	0.008062309	0.001566332	Metabolism	Energy metabolism	Oxidative phosphorylation	ccoP; cytochrome c oxidase cbb3-type subunit III
K00407	3372.5	828	2.657004831	1.207729469	25.46125461	0.00513283	0.002437244	Metabolism	Energy metabolism	Oxidative phosphorylation	ccoQ; cytochrome c oxidase cbb3-type subunit IV
K00411	2000	1139	64.61808604	5.882352941	35.02460025	0.017802087	0.002663719	Metabolism	Energy metabolism	Oxidative phosphorylation	"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit"
K00412	255.5	1195	50.20920502	20.66945607	36.74661747	0.003610424	0.001136134	Metabolism	Energy metabolism	Oxidative phosphorylation	"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
K00413	731	1009	92.17046581	58.5728444	31.02706027	0.0191188	0.010366438	Metabolism	Energy metabolism	Oxidative phosphorylation	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
K00425	1001.5	2328	66.15120275	17.48281787	71.58671587	0.003402768	0.000671154	Metabolism	Energy metabolism	Oxidative phosphorylation	cydA; cytochrome bd ubiquinol oxidase subunit I
K00426	1008.5	2331	39.21063921	18.48991849	71.67896679	0.003209006	0.001373525	Metabolism	Energy metabolism	Oxidative phosphorylation	cydB; cytochrome bd ubiquinol oxidase subunit II
K00428	2051.5	1164	83.07560137	42.35395189	35.79335793	0.007666964	0.002420931	Metabolism	Enzymes with EC numbers	Enzymes with EC numbers	E1.11.1.5; cytochrome c peroxidase
K00432	1648	2050	9.756097561	2.243902439	63.03813038	0.002467756	0.000500916	Metabolism	Lipid metabolism	Arachidonic acid metabolism	"gpx, btuE, bsaA; glutathione peroxidase"
K00451	981	1213	100	89.85985161	37.300123	0.01491859	0.009087285	Metabolism	Amino acid metabolism	Tyrosine metabolism	"HGD, hmgA; homogentisate 1,2-dioxygenase"
K00453	1405.5	1116	41.66666667	7.078853047	34.31734317	0.005037901	0.000830589	Metabolism	Amino acid metabolism	Tryptophan metabolism	"TDO2, kynA; tryptophan 2,3-dioxygenase"
