"X","genome","gene","disordered_residues","protein_length","ko_id","percent"
0,2501533205,2501565716,84,391,"K03092",0.214833759590793
0,2501533205,2501565836,53,481,"K03408",0.11018711018711
0,2501533205,2501565931,0,496,"K07793",0
0,2501533205,2501566110,100,621,"K06207",0.161030595813205
0,2501533205,2501566181,0,491,"K07793",0
0,2501846309,2501894145,3,292,"K07154",0.0102739726027397
0,2501846309,2501894479,13,244,"K08884",0.0532786885245902
0,2501846309,2501894566,8,653,"K07182",0.0122511485451761
0,2501846309,2501894733,79,484,"K03092",0.163223140495868
0,2501846309,2501895000,66,609,"K06207",0.108374384236453
0,2501915963,2501937361,8,147,"K03408",0.054421768707483
0,2501915963,2501937406,0,264,"K02556",0
0,2501915963,2501937458,8,359,"K03412",0.0222841225626741
0,2501915963,2501937963,59,502,"K02313",0.117529880478088
0,2502790015,2502854748,0,439,"K02313",0
0,2502790015,2502854829,146,690,"K03406",0.211594202898551
0,2502790015,2502855051,135,687,"K03406",0.196506550218341
0,2502790015,2502855168,81,678,"K03406",0.119469026548673
0,2502790015,2502855177,131,734,"K03406",0.178474114441417
0,2502790015,2502855219,75,355,"K03412",0.211267605633803
0,2502790015,2502855220,145,734,"K03407",0.197547683923706
0,2502790015,2502855222,59,195,"K03408",0.302564102564103
0,2502790015,2502855224,26,136,"K03408",0.191176470588235
0,2502790015,2502855352,185,375,"K08884",0.493333333333333
0,2502790015,2502855471,98,481,"K03408",0.203742203742204
0,2502790015,2502855490,163,620,"K03406",0.262903225806452
0,2502790015,2502855627,58,366,"K03412",0.158469945355191
0,2502790015,2502855749,64,631,"K06207",0.101426307448494
0,2502790015,2502855883,80,408,"K03092",0.196078431372549
0,2502790015,2502855888,55,496,"K04771",0.110887096774194
0,2502790015,2502856743,11,170,"K03408",0.0647058823529412
0,2502790015,2502857042,179,677,"K03406",0.264401772525849
0,2502790015,2502857098,130,690,"K03406",0.188405797101449
0,2502790015,2502857144,87,614,"K03406",0.141693811074919
0,2502790015,2502857235,111,707,"K03406",0.157001414427157
0,2502957028,2503006174,56,623,"K03406",0.0898876404494382
0,2502957028,2503006256,42,326,"K08884",0.128834355828221
0,2502957028,2503006356,14,344,"K03412",0.0406976744186047
0,2502957028,2503006357,64,757,"K03407",0.0845442536327609
0,2502957028,2503006715,1,253,"K02556",0.00395256916996047
0,2502957028,2503006883,39,638,"K06207",0.061128526645768
0,2502957028,2503007066,78,486,"K03092",0.160493827160494
0,2502957028,2503007967,25,478,"K07712",0.0523012552301255
0,2502957028,2503008071,119,917,"K03406",0.129770992366412
0,2502957028,2503008197,46,854,"K08884",0.053864168618267
0,2502957028,2503008689,26,582,"K08884",0.0446735395189003
0,2502957028,2503009507,14,426,"K08884",0.0328638497652582
0,2502957028,2503009672,21,169,"K03408",0.124260355029586
0,2502957028,2503009673,215,778,"K03407",0.276349614395887
0,2502957028,2503010237,0,148,"K03408",0
0,2502957028,2503010240,2,346,"K03412",0.00578034682080925
0,2502957028,2503010421,42,349,"K03412",0.120343839541547
0,2502957028,2503010856,55,893,"K00990",0.0615901455767077
0,2503283023,2503365813,66,506,"K08884",0.130434782608696
0,2503283023,2503365963,59,512,"K08884",0.115234375
0,2503283023,2503366015,4,283,"K08884",0.0141342756183746
0,2503283023,2503366016,22,436,"K08884",0.0504587155963303
0,2503283023,2503366179,8,497,"K08884",0.0160965794768612
0,2503283023,2503366301,29,597,"K06207",0.0485762144053601
0,2503283023,2503366989,127,545,"K08884",0.23302752293578
0,2503283023,2503367090,257,633,"K08884",0.406003159557662
0,2503283023,2503367244,142,545,"K08884",0.260550458715596
0,2503283023,2503367336,7,153,"K07182",0.0457516339869281
0,2503283023,2503367589,0,162,"K03408",0
0,2503283023,2503367955,11,447,"K08884",0.0246085011185682
0,2503283023,2503368010,19,506,"K08884",0.0375494071146245
0,2503283023,2503368059,74,509,"K08884",0.145383104125737
0,2503283023,2503368060,15,508,"K08884",0.0295275590551181
0,2503508007,2503525026,0,152,"K03408",0
0,2503508007,2503525083,106,667,"K03406",0.158920539730135
0,2503508007,2503525679,0,349,"K03412",0
0,2503508007,2503525758,0,494,"K07793",0
0,2503508007,2503525768,37,735,"K03406",0.0503401360544218
0,2503508007,2503526542,1,169,"K08884",0.00591715976331361
0,2503508009,2503532406,29,460,"K02313",0.0630434782608696
0,2503508009,2503533292,8,267,"K02556",0.0299625468164794
0,2503508009,2503533307,0,191,"K03412",0
0,2503508009,2503533428,110,646,"K08884",0.170278637770898
0,2503508009,2503533725,31,607,"K06207",0.0510708401976936
0,2503508009,2503533925,30,465,"K03092",0.0645161290322581
0,2503508009,2503534299,31,607,"K03406",0.0510708401976936
0,2503508009,2503535115,0,150,"K03408",0
0,2503538010,2503576607,61,609,"K06207",0.100164203612479
0,2503538017,2503594585,2,445,"K02313",0.00449438202247191
0,2503538017,2503594688,12,381,"K04771",0.031496062992126
0,2503538017,2503594906,0,493,"K07793",0
0,2503538017,2503594984,7,353,"K00936",0.0198300283286119
0,2503538017,2503595068,12,465,"K03092",0.0258064516129032
0,2503538017,2503595329,0,188,"K00936",0
0,2503538017,2503595500,5,504,"K07793",0.00992063492063492
0,2503538017,2503595530,0,155,"K03408",0
0,2503538017,2503595698,146,612,"K08884",0.238562091503268
0,2503538017,2503596414,0,503,"K07793",0
0,2503538017,2503596539,4,234,"K00936",0.0170940170940171
0,2503538017,2503596610,6,349,"K03412",0.0171919770773639
0,2503538017,2503596611,44,528,"K03408",0.0833333333333333
0,2503538017,2503597008,30,841,"K03407",0.0356718192627824
0,2503538017,2503597610,0,501,"K07793",0
0,2503538017,2503597665,4,459,"K02484",0.00871459694989107
0,2503538017,2503597682,34,900,"K07646",0.0377777777777778
0,2503538017,2503597833,0,503,"K07793",0
0,2503538020,2503605963,67,470,"K02313",0.142553191489362
0,2503538020,2503606077,83,557,"K08884",0.149012567324955
0,2503538020,2503606319,71,430,"K08884",0.165116279069767
0,2503538020,2503606372,76,649,"K08884",0.117103235747304
0,2503538020,2503606435,287,548,"K08884",0.523722627737226
0,2503538020,2503606456,37,377,"K08884",0.0981432360742706
0,2503538020,2503607208,22,490,"K00936",0.0448979591836735
0,2503538020,2503607994,7,530,"K00936",0.0132075471698113
0,2503538020,2503608019,5,195,"K03412",0.0256410256410256
0,2503538020,2503608021,92,1232,"K00936",0.0746753246753247
0,2503538020,2503608294,100,537,"K08884",0.186219739292365
0,2503538020,2503608474,42,308,"K00936",0.136363636363636
0,2503538020,2503608661,33,597,"K06207",0.0552763819095477
0,2503538020,2503608680,210,661,"K08884",0.317700453857791
0,2503538020,2503608898,101,474,"K00936",0.213080168776371
0,2503538020,2503608955,46,490,"K08884",0.0938775510204082
0,2503538020,2503608964,51,613,"K08884",0.0831973898858075
0,2503538020,2503608977,339,663,"K08884",0.51131221719457
0,2503538020,2503609185,74,521,"K08884",0.142034548944338
0,2503538020,2503609250,54,1025,"K00936",0.0526829268292683
0,2503538020,2503609320,91,506,"K00936",0.179841897233202
0,2503538020,2503609344,125,688,"K08884",0.181686046511628
0,2503538020,2503609573,225,490,"K08884",0.459183673469388
0,2503538020,2503609592,215,574,"K08884",0.374564459930314
0,2503538020,2503609705,11,352,"K03408",0.03125
0,2503538020,2503609707,173,805,"K03407",0.214906832298137
0,2503538020,2503609708,27,365,"K03412",0.073972602739726
0,2503538021,2503610244,24,458,"K02313",0.0524017467248908
0,2503538021,2503610259,121,829,"K03407",0.145958986731001
0,2503538021,2503610313,22,596,"K06207",0.0369127516778524
0,2503538021,2503610457,0,171,"K03408",0
0,2503538021,2503610589,0,292,"K08884",0
0,2503538021,2503610756,131,629,"K08884",0.208267090620032
0,2503538021,2503610865,158,816,"K03407",0.193627450980392
0,2503538021,2503610868,30,366,"K03412",0.0819672131147541
0,2503538021,2503611127,5,469,"K02484",0.0106609808102345
0,2503538021,2503612121,52,526,"K00936",0.0988593155893536
0,2503538021,2503612557,42,416,"K08884",0.100961538461538
0,2503538021,2503613015,178,575,"K08884",0.309565217391304
0,2503538021,2503613722,27,590,"K00936",0.0457627118644068
0,2503538021,2503613725,132,566,"K03412",0.23321554770318
0,2503538021,2503614279,101,529,"K08884",0.190926275992439
0,2503538021,2503614281,60,528,"K08884",0.113636363636364
0,2503538021,2503614437,149,478,"K08884",0.311715481171548
0,2503538021,2503614498,76,535,"K08884",0.142056074766355
0,2503538021,2503614721,201,688,"K08884",0.292151162790698
0,2503538021,2503615190,283,713,"K08884",0.396914446002805
0,2503538021,2503615209,0,207,"K03412",0
0,2503538021,2503615332,57,453,"K08884",0.125827814569536
0,2503538021,2503615362,235,706,"K08884",0.3328611898017
0,2503538021,2503615396,32,504,"K00936",0.0634920634920635
0,2503538021,2503615457,333,631,"K08884",0.527733755942948
0,2503538021,2503615563,17,685,"K08884",0.0248175182481752
0,2503538021,2503615729,6,449,"K08884",0.0133630289532294
0,2503538021,2503615772,38,509,"K08884",0.0746561886051081
0,2503538028,2503634702,22,451,"K02313",0.0487804878048781
0,2503538028,2503635061,13,508,"K08884",0.0255905511811024
0,2503538028,2503635073,176,565,"K08884",0.311504424778761
0,2503538028,2503635142,84,515,"K08884",0.163106796116505
0,2503538028,2503635184,0,171,"K03408",0
0,2503538028,2503635721,10,349,"K03408",0.0286532951289398
0,2503538028,2503635723,263,931,"K03407",0.282491944146079
0,2503538028,2503635724,18,377,"K03412",0.0477453580901857
0,2503538028,2503635931,34,597,"K06207",0.0569514237855946
0,2503538028,2503636345,16,311,"K04771",0.0514469453376206
0,2503538028,2503637476,137,574,"K08884",0.238675958188153
0,2503538028,2503638197,294,689,"K08884",0.426705370101597
0,2503538028,2503638201,275,680,"K08884",0.404411764705882
0,2503692001,2503695805,37,460,"K02313",0.0804347826086956
0,2503692001,2503696012,30,647,"K03406",0.0463678516228748
0,2503692001,2503696232,108,668,"K08884",0.161676646706587
0,2503692001,2503696318,49,480,"K03092",0.102083333333333
0,2503692001,2503696381,33,887,"K00990",0.0372040586245772
0,2503692001,2503696694,58,694,"K03407",0.0835734870317003
0,2503692001,2503696695,176,685,"K03406",0.256934306569343
0,2503692001,2503696701,11,378,"K03412",0.0291005291005291
0,2503692001,2503696719,26,409,"K07154",0.0635696821515892
0,2503692001,2503696811,27,384,"K03412",0.0703125
0,2503692001,2503696813,142,1085,"K03407",0.130875576036866
0,2503692001,2503697180,35,485,"K07712",0.0721649484536082
0,2503692001,2503697183,91,869,"K08884",0.104718066743383
0,2503692001,2503697468,15,479,"K07712",0.0313152400835073
0,2503692001,2503697822,174,559,"K03406",0.311270125223614
0,2503692001,2503699112,27,565,"K00936",0.047787610619469
0,2503707007,2503734484,3,476,"K02313",0.00630252100840336
0,2503707007,2503738332,46,616,"K06207",0.0746753246753247
0,2503707008,2503738615,29,462,"K02313",0.0627705627705628
0,2503707008,2503738834,3,1685,"K00936",0.00178041543026706
0,2503707008,2503739041,0,478,"K00936",0
0,2503707008,2503739124,16,734,"K03407",0.0217983651226158
0,2503707008,2503739125,0,149,"K03408",0
0,2503707008,2503739127,0,355,"K03412",0
0,2503707008,2503739953,7,452,"K00936",0.0154867256637168
0,2503707008,2503739967,25,448,"K00936",0.0558035714285714
0,2503707008,2503739969,10,419,"K08884",0.0238663484486874
0,2503707008,2503740012,17,667,"K00936",0.0254872563718141
0,2503707008,2503740044,0,902,"K00936",0
0,2503707008,2503740667,34,482,"K00936",0.0705394190871369
0,2503707008,2503740690,29,468,"K08884",0.061965811965812
0,2503707008,2503740984,8,814,"K00936",0.00982800982800983
0,2503707008,2503741069,187,627,"K08884",0.298245614035088
0,2503707008,2503741214,18,600,"K00936",0.03
0,2503707008,2503741275,27,856,"K00936",0.0315420560747664
0,2503707008,2503741278,0,508,"K08884",0
0,2503707008,2503741279,5,529,"K08884",0.00945179584120983
0,2503707008,2503741390,5,585,"K00936",0.00854700854700855
0,2503707008,2503741393,13,363,"K08884",0.0358126721763085
0,2503707008,2503741629,30,596,"K06207",0.0503355704697987
0,2503707008,2503741896,12,557,"K00936",0.0215439856373429
0,2503707008,2503742120,6,917,"K00936",0.00654307524536532
0,2503707008,2503742296,4,454,"K08884",0.00881057268722467
0,2503707008,2503742385,4,597,"K00936",0.0067001675041876
0,2503707008,2503742544,12,836,"K00936",0.0143540669856459
0,2503707008,2503742755,215,600,"K08884",0.358333333333333
0,2503707008,2503743127,27,449,"K00936",0.0601336302895323
0,2503707008,2503743312,74,539,"K08884",0.137291280148423
0,2503707008,2503743628,5,749,"K00936",0.00667556742323097
0,2503707008,2503743667,220,544,"K08884",0.404411764705882
0,2503707008,2503744061,23,1292,"K00936",0.0178018575851393
0,2503707008,2503744131,40,1170,"K00936",0.0341880341880342
0,2503707009,2503744241,6,508,"K08884",0.0118110236220472
0,2503707009,2503744491,199,619,"K08884",0.321486268174475
0,2503707009,2503745439,80,572,"K08884",0.13986013986014
0,2503707009,2503745810,15,506,"K08884",0.0296442687747036
0,2503707009,2503746168,32,509,"K08884",0.0628683693516699
0,2503707009,2503746425,23,498,"K08884",0.0461847389558233
0,2503707009,2503746554,34,597,"K06207",0.0569514237855946
0,2503707009,2503746620,92,598,"K08884",0.153846153846154
0,2503707009,2503747038,10,160,"K03408",0.0625
0,2503707009,2503747152,157,598,"K08884",0.262541806020067
0,2503707009,2503747389,115,498,"K08884",0.230923694779116
0,2503707009,2503747404,55,512,"K08884",0.107421875
0,2503754000,2503754032,1,499,"K07793",0.00200400801603206
0,2503754000,2503754807,107,608,"K06207",0.175986842105263
0,2503754000,2503754843,40,190,"K15012",0.210526315789474
0,2503754000,2503755299,25,471,"K04771",0.0530785562632696
0,2503754016,2503788364,19,274,"K02556",0.0693430656934307
0,2503754016,2503788653,153,480,"K04771",0.31875
0,2503754016,2503788720,26,703,"K03407",0.0369843527738265
0,2503754016,2503788828,164,913,"K03407",0.179627601314348
0,2503754016,2503788830,108,318,"K03408",0.339622641509434
0,2503754016,2503788835,15,352,"K03412",0.0426136363636364
0,2503754016,2503789157,12,438,"K07154",0.0273972602739726
0,2503754016,2503789180,0,159,"K03408",0
0,2503754016,2503789182,0,176,"K03408",0
0,2503754016,2503789184,137,777,"K03407",0.176319176319176
0,2503754016,2503789185,15,358,"K03412",0.0418994413407821
0,2503754016,2503789364,166,940,"K00990",0.176595744680851
0,2503754016,2503789560,5,161,"K03408",0.031055900621118
0,2503754016,2503789826,15,480,"K07712",0.03125
0,2503754016,2503789833,18,613,"K07182",0.0293637846655791
0,2503754016,2503789922,118,804,"K03406",0.146766169154229
0,2503754016,2503790126,119,772,"K03406",0.154145077720207
0,2503754016,2503790654,5,405,"K00936",0.0123456790123457
0,2503754016,2503790882,105,611,"K03406",0.171849427168576
0,2503754016,2503790894,57,452,"K02484",0.126106194690265
0,2503754016,2503790939,34,659,"K07182",0.0515933232169954
0,2503754016,2503791183,100,616,"K08884",0.162337662337662
0,2503754016,2503791257,64,586,"K00936",0.109215017064846
0,2503754016,2503791555,6,1070,"K07787",0.00560747663551402
0,2503754016,2503791588,39,469,"K04771",0.0831556503198294
0,2503754016,2503791616,1,158,"K03408",0.00632911392405063
0,2503754017,2503792546,2,457,"K02313",0.00437636761487965
0,2503754017,2503792768,0,370,"K00936",0
0,2503754017,2503793020,30,596,"K06207",0.0503355704697987
0,2503754017,2503793312,18,454,"K08884",0.039647577092511
0,2503754017,2503793371,176,571,"K08884",0.308231173380035
0,2503754017,2503793487,6,479,"K02484",0.0125260960334029
0,2503754017,2503793674,65,562,"K03412",0.115658362989324
0,2503754017,2503793965,30,421,"K08884",0.0712589073634204
0,2503754017,2503794995,113,1199,"K00936",0.0942452043369475
0,2503754017,2503795338,80,539,"K08884",0.148423005565863
0,2503754017,2503796006,190,480,"K08884",0.395833333333333
0,2503754017,2503796107,214,729,"K08884",0.293552812071331
0,2503754017,2503796726,12,457,"K03092",0.0262582056892779
0,2503754017,2503797145,74,558,"K08884",0.132616487455197
0,2503754017,2503797146,58,658,"K08884",0.088145896656535
0,2503754017,2503797314,163,638,"K08884",0.255485893416928
0,2503754019,2503797846,15,461,"K08884",0.0325379609544469
0,2503754019,2503798059,4,456,"K02313",0.0087719298245614
0,2503754019,2503798170,27,476,"K08884",0.0567226890756303
0,2503754019,2503798194,1,194,"K03412",0.00515463917525773
0,2503754019,2503799101,13,356,"K03412",0.0365168539325843
0,2503754019,2503799104,44,450,"K03406",0.0977777777777778
0,2503754019,2503799472,30,342,"K03412",0.087719298245614
0,2503754019,2503800131,2,505,"K08884",0.00396039603960396
0,2503754019,2503800193,15,500,"K08884",0.03
0,2503754019,2503800229,31,467,"K08884",0.0663811563169165
0,2503754019,2503800740,156,674,"K08884",0.231454005934718
0,2503754019,2503800975,317,736,"K08884",0.43070652173913
0,2503754019,2503801154,154,520,"K08884",0.296153846153846
0,2503754019,2503801184,25,407,"K08884",0.0614250614250614
0,2503754019,2503801427,161,577,"K08884",0.279029462738302
0,2503754019,2503801489,2,153,"K07182",0.0130718954248366
0,2503754019,2503802151,59,538,"K08884",0.109665427509294
0,2503754019,2503802171,0,164,"K03408",0
0,2503754019,2503802229,29,598,"K06207",0.048494983277592
0,2503754019,2503802530,0,173,"K03408",0
0,2503754046,2503875416,23,600,"K06207",0.0383333333333333
0,2503754046,2503876047,61,493,"K02313",0.123732251521298
0,2503754048,2503885594,27,450,"K02313",0.06
0,2503754048,2503885736,5,473,"K08884",0.0105708245243129
0,2503754048,2503886237,88,495,"K08884",0.177777777777778
0,2503754048,2503886254,85,532,"K08884",0.159774436090226
0,2503754048,2503886294,165,596,"K08884",0.276845637583893
0,2503754048,2503886295,102,455,"K08884",0.224175824175824
0,2503754048,2503887039,304,872,"K08884",0.348623853211009
0,2503754048,2503887100,146,560,"K08884",0.260714285714286
0,2503754048,2503887110,57,738,"K00936",0.0772357723577236
0,2503754048,2503887790,209,570,"K08884",0.366666666666667
0,2503754048,2503889731,65,539,"K08884",0.120593692022263
0,2503754048,2503889958,35,597,"K06207",0.0586264656616415
0,2503904012,2503956265,22,470,"K02313",0.0468085106382979
0,2503982003,2503998211,45,923,"K00936",0.0487540628385699
0,2503982003,2503998644,153,516,"K03092",0.296511627906977
0,2503982003,2503999004,18,812,"K08884",0.0221674876847291
0,2503982003,2503999240,22,533,"K03406",0.0412757973733583
0,2503982003,2503999522,6,848,"K08884",0.00707547169811321
0,2503982003,2503999543,62,471,"K07712",0.131634819532909
0,2503982003,2503999562,19,605,"K06207",0.031404958677686
0,2503982003,2504000445,1,161,"K03408",0.0062111801242236
0,2503982003,2504000446,148,385,"K03408",0.384415584415584
0,2503982003,2504000449,0,246,"K02556",0
0,2503982003,2504000451,274,751,"K03407",0.364846870838882
0,2503982003,2504000471,3,368,"K03412",0.00815217391304348
0,2503982003,2504000475,23,190,"K03408",0.121052631578947
0,2503982003,2504000533,11,384,"K03406",0.0286458333333333
0,2503982003,2504000553,33,462,"K04771",0.0714285714285714
0,2503982003,2504000899,97,535,"K02313",0.181308411214953
0,2503982003,2504001008,4,1048,"K07787",0.00381679389312977
0,2503982035,2504086212,57,444,"K08884",0.128378378378378
0,2503982035,2504086489,9,457,"K02313",0.0196936542669584
0,2503982035,2504086498,1,457,"K00936",0.00218818380743982
0,2503982035,2504086767,2,508,"K00936",0.00393700787401575
0,2503982035,2504087525,36,481,"K08884",0.0748440748440748
0,2503982035,2504088023,50,455,"K08884",0.10989010989011
0,2503982035,2504088030,222,591,"K08884",0.375634517766497
0,2503982035,2504088435,20,627,"K03406",0.0318979266347687
0,2503982035,2504088436,100,832,"K03407",0.120192307692308
0,2503982035,2504088438,8,361,"K03412",0.0221606648199446
0,2503982035,2504088560,39,413,"K08884",0.0944309927360775
0,2503982035,2504089008,215,522,"K08884",0.411877394636015
0,2503982035,2504089277,44,275,"K04771",0.16
0,2503982035,2504089752,288,572,"K08884",0.503496503496504
0,2503982035,2504089951,0,517,"K00936",0
0,2503982035,2504090092,65,543,"K08884",0.119705340699816
0,2503982035,2504090230,26,596,"K06207",0.0436241610738255
0,2503982035,2504090437,50,634,"K08884",0.0788643533123028
0,2503982035,2504092037,14,685,"K00936",0.0204379562043796
0,2503982035,2504092796,124,1084,"K00936",0.114391143911439
0,2503982036,2504092978,4,455,"K02313",0.00879120879120879
0,2503982036,2504093456,35,597,"K06207",0.0586264656616415
0,2503982036,2504093599,179,576,"K08884",0.310763888888889
0,2503982036,2504093844,33,535,"K08884",0.0616822429906542
0,2503982036,2504094765,8,445,"K08884",0.0179775280898876
0,2503982036,2504095519,44,428,"K04771",0.102803738317757
0,2503982036,2504095999,14,310,"K00936",0.0451612903225806
0,2503982036,2504096190,11,441,"K00936",0.0249433106575964
0,2503982036,2504096326,2,515,"K08884",0.00388349514563107
0,2503982036,2504096327,0,543,"K08884",0
0,2503982036,2504096705,27,570,"K08884",0.0473684210526316
0,2503982036,2504096918,37,1208,"K00936",0.0306291390728477
0,2503982036,2504097091,210,596,"K08884",0.352348993288591
0,2503982036,2504097322,45,480,"K08884",0.09375
0,2503982036,2504097347,15,212,"K03412",0.0707547169811321
0,2503982036,2504097637,24,497,"K00936",0.0482897384305835
0,2503982036,2504097838,273,566,"K08884",0.482332155477032
0,2503982036,2504097946,13,362,"K08884",0.0359116022099447
0,2503982036,2504098059,140,478,"K08884",0.292887029288703
0,2503982036,2504098279,185,735,"K08884",0.251700680272109
0,2503982036,2504098580,8,470,"K08884",0.0170212765957447
0,2503982037,2504098663,67,474,"K02313",0.141350210970464
0,2503982037,2504098987,11,473,"K07646",0.0232558139534884
0,2503982037,2504100035,45,257,"K08738",0.175097276264591
0,2503982037,2504100109,38,824,"K08884",0.0461165048543689
0,2503982037,2504100624,106,1602,"K08884",0.066167290886392
0,2503982037,2504101566,120,1023,"K08884",0.117302052785924
0,2503982037,2504102374,49,801,"K00936",0.0611735330836454
0,2503982037,2504102429,45,413,"K07154",0.108958837772397
0,2503982037,2504102675,5,391,"K07646",0.0127877237851662
0,2503982037,2504102693,3,480,"K07646",0.00625
0,2503982037,2504102883,9,325,"K08884",0.0276923076923077
0,2503982037,2504103102,22,1062,"K07787",0.0207156308851224
0,2503982037,2504103386,37,612,"K06207",0.0604575163398693
0,2503982046,2504128121,3,444,"K02313",0.00675675675675676
0,2503982047,2504129621,7,458,"K02313",0.0152838427947598
0,2503982047,2504129807,5,1543,"K00936",0.00324044069993519
0,2503982047,2504130053,2,372,"K07646",0.00537634408602151
0,2503982047,2504131017,35,496,"K00936",0.0705645161290323
0,2503982047,2504131069,37,413,"K08884",0.0895883777239709
0,2503982047,2504132248,55,496,"K08884",0.110887096774194
0,2503982047,2504132273,223,614,"K08884",0.363192182410423
0,2503982047,2504132333,31,771,"K00936",0.0402075226977951
0,2503982047,2504132444,16,459,"K08884",0.0348583877995643
0,2503982047,2504133042,1,519,"K08884",0.00192678227360308
0,2503982047,2504133166,59,535,"K08884",0.110280373831776
0,2503982047,2504133209,250,551,"K08884",0.453720508166969
0,2503982047,2504133874,0,229,"K03412",0
0,2503982047,2504134256,159,572,"K08884",0.277972027972028
0,2503982047,2504134555,29,1614,"K00936",0.0179677819083024
0,2503982047,2504134645,183,718,"K08884",0.254874651810585
0,2504136000,2504136000,1,417,"K02313",0.00239808153477218
0,2504136000,2504136363,5,397,"K03406",0.0125944584382872
0,2504136000,2504136364,116,794,"K03407",0.146095717884131
0,2504136000,2504136365,1,194,"K03408",0.00515463917525773
0,2504136000,2504136592,0,281,"K02556",0
0,2504136000,2504136937,144,556,"K03406",0.258992805755396
0,2504136000,2504137201,26,606,"K06207",0.0429042904290429
0,2504136006,2504153519,19,461,"K02313",0.0412147505422994
0,2504136006,2504154863,63,677,"K07646",0.0930576070901034
0,2504136006,2504155348,6,468,"K07712",0.0128205128205128
0,2504136006,2504155620,9,594,"K06207",0.0151515151515152
0,2504136006,2504155652,79,496,"K03092",0.159274193548387
0,2504136006,2504155947,13,477,"K07712",0.0272536687631027
0,2504136006,2504155991,2,477,"K07712",0.00419287211740042
0,2504136006,2504156517,258,611,"K08884",0.422258592471358
0,2504557012,2504606902,31,485,"K02313",0.0639175257731959
0,2504557012,2504607961,28,543,"K08884",0.0515653775322284
0,2504557012,2504608262,13,531,"K03406",0.0244821092278719
0,2504557012,2504608559,43,469,"K03408",0.0916844349680171
0,2504557012,2504608560,131,812,"K03407",0.161330049261084
0,2504557012,2504608782,0,163,"K03408",0
0,2504557012,2504609018,1,477,"K03092",0.00209643605870021
0,2504643006,2504659563,6,448,"K02313",0.0133928571428571
0,2504643006,2504659616,78,615,"K08884",0.126829268292683
0,2504643006,2504659691,15,424,"K00936",0.035377358490566
0,2504643006,2504659734,0,505,"K07793",0
0,2504643006,2504660418,83,674,"K08884",0.123145400593472
0,2504643006,2504661219,52,285,"K08884",0.182456140350877
0,2504643006,2504661426,0,602,"K07182",0
0,2504643006,2504661558,8,429,"K00936",0.0186480186480186
0,2504643012,2504678414,72,508,"K02313",0.141732283464567
0,2504643012,2504678523,242,573,"K08884",0.422338568935428
0,2504643012,2504678691,219,670,"K08884",0.326865671641791
0,2504643012,2504678798,35,509,"K08884",0.068762278978389
0,2504643012,2504679012,138,618,"K08884",0.223300970873786
0,2504643012,2504679054,98,540,"K08884",0.181481481481481
0,2504643012,2504679284,279,609,"K08884",0.458128078817734
0,2504643012,2504679741,1,425,"K00936",0.00235294117647059
0,2504643012,2504679806,56,484,"K08884",0.115702479338843
0,2504643012,2504680391,116,550,"K08884",0.210909090909091
0,2504643012,2504681432,22,595,"K06207",0.0369747899159664
0,2504643012,2504681468,258,576,"K08884",0.447916666666667
0,2504643012,2504681520,147,628,"K08884",0.234076433121019
0,2504643012,2504681984,147,537,"K08884",0.273743016759777
0,2504643012,2504682035,10,427,"K08884",0.0234192037470726
