taxon_oid	genome_name	phylum_gtdbtk	class_gtdbtk	order_gtdbtk	family_gtdbtk	genus_gtdbtk	species	ANI.Cluster.ID	habitat	genome_size	total_coding	total_gc_coding	gene_count	kegg_unannotated	protein_count	percent_GC	rRNA_16s	rRNA_23s	rRNA_count_estimated	trna_count	total_motifs	str_motifs	completeness	contamination	temperature_class	multicellular	doubling_estimated	doubling_measured	reference
2738541278	Niastella sp. CF465	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	Niastella sp. CF465	12313		9755573	8670678	3869368	7716	71.58	7641	43.75	1	1	1	66	3761	1168	100	0.66	mesophilic	unicellular	1.587125897	NA	
2684623219	Planctomyces sp. SH-PL14	Planctomycetota	Planctomycetes	Planctomycetales	Planctomycetaceae		Planctomyces sp. SH-PL14	11238		8442773	6995225	4615061	6604	71.2	6532	65.56	2	1	1	64	9471	4016	98.89	2.22	mesophilic	unicellular	6.615477763	NA	
2609460315	Haloferula sp. BvORR071	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae		Haloferula sp. BvORR071	9221		7795129	7017754	4414033	6440	70.98	6383	62.49	1	1	1	51	7441	3029	99.86	2.72	mesophilic	unicellular	1.73597707	NA	
2619619010	Dyadobacter soli DSM 25329	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	Dyadobacter soli	9436		8744781	7954887	4091023	7354	70.42	7301	50.47	5	3	3	38	3202	859	99.7	0	mesophilic	unicellular	1.208371729	NA	
2504756004	"Haliscomenobacter hydrossis O, DSM 1100"	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae		Haliscomenobacter hydrossis	6438	Sludge	8771651	7852372	3766081	6918	70.41	6858	47.1	2	2	2	52	3999	1236	99.49	2.53	mesophilic	unicellular	5.945199272	NA	
2509601039	Leptolyngbya sp. PCC 7375	Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium	Leptolyngbya sp. PCC 7375	6601		9422968	8014914	3892467	8446	70.35	8366	47.62	3	3	3	63	6296	2183	99.73	1.09	mesophilic	unicellular	7.018995259	NA	
2728369267	Dyadobacter jiangsuensis DSM 29057	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	Dyadobacter jiangsuensis	12083		8265804	7539154	3860311	6913	70.29	6862	50.26	3	1	1	37	3034	824	100	0.6	mesophilic	unicellular	1.34476275	NA	
2515154145	Flexithrix dorotheae DSM 6795	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae		Flexithrix dorotheae	6843	"Marine, Sediment"	9536821	8314619	3113293	7446	70.28	7386	36.34	2	2	2	45	3156	855	99.4	0.6	mesophilic	unicellular	4.152963258	NA	
2861520306	Phytomonospora endophytica DSM 45386	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae		Phytomonospora endophytica	16171	"Host, Plant root"	8348283	7504886	5331461	7968	70.14	7883	70.78	1	1	1	53	9955	4862	98.77	3.07	mesophilic	unicellular	11.94495983	NA	
2527291724	Runella limosa DSM 17973	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Runella	Runella limosa	7450	"Sludge, Wastewater"	7555966	6901676	3106964	6298	69.96	6252	44.27	2	2	2	34	3203	788	100	0.6	mesophilic	unicellular	2.538915815	NA	
2757320416	Chitinophaga sp. OK723	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga sp. OK723	12748		8707430	7805448	3591274	7200	69.88	7100	45	3	1	1	72	3649	1070	100	1.15	mesophilic	unicellular	3.82720918	NA	
2524614645	Runella zeae DSM 19591	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Runella	Runella zeae	7339	Plants	7602614	6850210	2951061	6468	69.85	6418	42.14	4	3	3	38	3312	893	100	0	mesophilic	unicellular	6.79586879	NA	
2718217661	Taibaiella chishuiensis CGMCC 1.12700	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		Taibaiella chishuiensis	11842		5841105	5120333	2622708	5008	69.65	4947	50.08	1	1	1	54	2563	840	100	0	mesophilic	unicellular	0.803296551	NA	
2609459644	Chitinophaga sp. CF418	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga sp. CF418	9169		8630000	7653858	3554698	6998	69.59	6924	45.47	2	1	1	60	3795	1179	100	0.74	mesophilic	unicellular	2.131675967	NA	
2827964551	Runella defluvii DSM 17976	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Runella	Runella defluvii	14629	"Wastewater treatment plant, Sludge"	7991252	7327340	3335178	6478	69.57	6421	44.75	3	1	1	42	3356	855	100	0	mesophilic	unicellular	4.849370542	NA	
2728369473	Chitinophaga ginsengisoli DSM 18107	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga ginsengisoli	12102	Host	8501157	7592790	3529690	6925	69.55	6842	45.55	1	1	1	57	3752	1185	100	0.76	mesophilic	unicellular	2.640204741	NA	
2724679821	Dokdonia pacifica DSM 25597	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia pacifica	12043		5520745	4986213	1730299	4968	69.46	4884	34.11	1	1	1	68	1618	491	99.62	0.92	mesophilic	unicellular	2.99249698	NA	
646311954	Spirosoma linguale DSM 74	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma linguale	5947	"Aquatic, Fresh water"	8491258	7512843	3853118	7130	69.45	7067	50.15	4	4	4	49	3839	1007	100	0.89	mesophilic	unicellular	5.407781902	NA	
2515154030	Lewinella cohaerens DSM 23179	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae		Lewinella cohaerens	6810	Sea sand	7298817	6486902	2966890	5640	69.43	5590	45	2	2	2	42	3775	1251	99.5	1.75	mesophilic	unicellular	5.570660746	NA	
2861701969	Prosthecobacter vanneervenii DSM 12252	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Prosthecobacter vanneervenii	16205		6662711	6080812	3712193	5403	69.24	5321	60.54	1	1	1	57	6448	2726	99.32	2.04	mesophilic	unicellular	1.833963167	NA	
2507262016	Scytonema hofmanni UTEX 2349	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Tolypothrix_C	Scytonema hofmanni	6508		8133444	6579040	2762043	7384	69.08	7302	41.21	1	2	1	54	4777	1515	99.76	0.44	mesophilic	multicellular	8.824073901	NA	
2799112271	Actinocrispum wychmicini DSM 45934	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae		Actinocrispum wychmicini	14092		12011259	11007178	7565857	10837	69	10743	68.32	1	1	1	63	13567	6080	99.05	3.54	mesophilic	unicellular	3.730032768	NA	
2506520016	"Niastella koreensis GR20-10, DSM 17620"	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	Niastella koreensis	3206	Soil	9033684	8015628	3671587	7444	68.97	7366	44.87	3	3	3	67	3603	1056	100	2.87	psychrophilic	unicellular	1.56011794	NA	
2599185237	Niastella yeongjuensis DSM 17621	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	Niastella yeongjuensis	9017	Soil	8546563	7596205	3446434	6964	68.95	6887	44.51	2	1	1	62	3474	1066	100	1.23	mesophilic	unicellular	1.733201615	NA	
2728369482	Spirosoma oryzae DSM 28354	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma oryzae	12107		6569981	5776285	3187033	5721	68.89	5670	54.11	2	0	2	41	3100	860	100	0.84	mesophilic	unicellular	4.280091875	NA	
2757320532	Filimonas sp. YR581	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		Filimonas sp. YR581	12766		7784966	7190677	3265208	6181	68.81	6109	44.81	1	1	1	61	3056	916	100	0.66	mesophilic	unicellular	1.160161745	NA	
2681813554	Filimonas lacunae DSM 21054	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		Filimonas lacunae	3212	Aquatic	7763674	7115769	3181650	6270	68.8	6194	44.03	1	3	1	63	2925	884	100	1.31	mesophilic	unicellular	1.385523332	NA	
2848419202	Tengunoibacter tsumagoiensis Uno3	Chloroflexota	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae		Tengunoibacter tsumagoiensis	15753		7699857	6488958	3278222	6328	68.63	6196	49.36	9	9	9	61	5357	1666	98.68	4.98	mesophilic	unicellular	21.59110749	NA	
2802428837	Larkinella sp. BK230	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae		Larkinella sp. BK230	14121		7274818	6496842	3548082	6026	68.45	5973	53.4	3	1	1	41	3527	1008	100	0.3	mesophilic	unicellular	4.967207195	NA	
2861542065	Actinomadura namibiensis DSM 44197	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Actinomadura_A	Actinomadura namibiensis	4521	Soil	9760791	8689352	6420046	9523	68.42	9388	73.42	3	1	1	94	13815	6830	99.35	1.61	mesophilic	unicellular	9.993078895	NA	
2687453341	Pirellula sp. SH-Sr6A	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		Pirellula sp. SH-Sr6A	11281		6534136	5872889	3196957	5435	68.39	5336	54.25	1	1	1	78	5518	2069	98.75	3.53	mesophilic	unicellular	8.008730957	NA	
2523533620	Aquimarina latercula DSM 2041	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	Aquimarina latercula	7237	"Aquatic, Marine, Sea water"	6245252	5622168	1853893	5610	68.38	5543	32.22	1	1	1	53	1624	464	99.62	0.19	mesophilic	unicellular	3.474033107	NA	
2695420963	Actinoplanes xinjiangensis DSM 45184	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae	Actinoplanes	Actinoplanes xinjiangensis	11541		10797414	9638660	6857564	9821	68.34	9708	70.75	4	1	1	90	12469	5652	100	2.12	mesophilic	unicellular	4.043667937	NA	
2617270831	Chryseolinea serpens DSM 24574	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae		Chryseolinea serpens	9317		8357597	7488190	3891922	6897	68.33	6834	51.14	2	2	2	48	3794	1202	99.98	1.98	mesophilic	unicellular	4.074703863	0.63	
2852728668	Hamadaea flava DSM 100517	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae		Hamadaea flava	15888		8864410	8073491	5658126	8330	68.31	8237	69.66	3	3	3	63	9131	3859	98.25	2.54	mesophilic	unicellular	10.14892432	NA	
2837328691	Blastopirellula marina Hex-1 MGV	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		Blastopirellula marina	3794		7124707	6271846	3405232	5943	68.3	5856	53.82	1	1	1	71	5673	2037	98.78	0.38	mesophilic	multicellular	7.300082688	NA	
2861385466	Filimonas zeae DSM 100760	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		Filimonas zeae	16160		7440580	6818016	3165527	6126	68.23	6037	45.8	2	3	2	68	2917	902	100	1.48	mesophilic	unicellular	2.505598193	NA	
2839956492	Rhodopirellula sp. MGV	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	TMED11	Rhodopirellula sp. MGV	3677		7164437	6368006	3534258	5594	68.23	5534	55.3	2	1	1	46	5307	1994	96.4	1.18	mesophilic	unicellular	7.828955004	NA	
2756170238	Lechevalieria atacamensis DSM 45479	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae		Lechevalieria atacamensis	2487		9306230	8519646	5902830	9165	68.15	9075	68.87	5	1	1	70	9136	3854	99.51	2.5	mesophilic	unicellular	5.535702299	NA	
2509276047	Oscillatoria sp. PCC 10802	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Oscillatoriaceae		Oscillatoria sp. PCC 10802	6573		8594406	6707915	3682864	7103	68.06	7012	54.1	8	4	4	65	7895	2945	100	0.58	mesophilic	multicellular	16.74417243	NA	
2827971030	Flammeovirga yaeyamensis DSM 25626	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Flammeovirga	Flammeovirga yaeyamensis	14630		7383237	6567274	2324731	5774	68.03	5673	34.48	3	1	1	78	1875	482	98.36	1.77	mesophilic	unicellular	4.076999949	NA	
2675903223	Kutzneria buriramensis DSM 45791	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae	Kutzneria	Kutzneria buriramensis	10995		11968322	10833442	7673044	11064	68	10971	70.35	1	1	1	55	12136	5102	99.65	3.07	mesophilic	unicellular	9.468931311	NA	
2863371048	Streptosporangium album DSM 43023	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	Streptosporangium album	16365	Soil	9022456	7883487	5523309	8987	67.98	8770	69.43	5	5	5	83	9359	4056	99.29	2.19	mesophilic	unicellular	5.310685841	NA	
2824432718	Rhodopirellula rubra CECT 8075	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula rubra	14563		8548319	7486543	4217389	6621	67.95	6530	56.02	1	1	1	72	7044	2619	98.75	1.18	mesophilic	unicellular	14.01526566	8.5	"Bondoso J et al, Syst. And Appl. Micro. 2014"
2731957505	Actinokineospora auranticolor DSM 44650	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae	Actinokineospora_A	Actinokineospora auranticolor	12163		8431890	7439043	5371347	7476	67.95	7402	71.75	1	1	1	53	9684	4303	100	1.7	mesophilic	unicellular	4.810518336	NA	
2693429910	Lewinella agarilytica DSM 24740	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella_A	Lewinella agarilytica	11496		6220808	5490472	2907092	4949	67.89	4892	52.23	1	1	1	50	3592	1297	99	0.5	mesophilic	unicellular	2.326277084	NA	
2523533533	Hamadaea tsunoensis DSM 44101	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae		Hamadaea tsunoensis	7190	Soil	9478888	8480974	6055132	8415	67.89	8322	70.81	4	4	4	62	9911	4222	99.3	1.93	mesophilic	unicellular	7.392900288	NA	
646311933	"Haliangium ochraceum SMP-2, DSM 14365"	Myxococcota	Polyangia				Haliangium ochraceum	5937	Sea sand	9446314	8421666	5884845	6952	67.88	6897	69.48	2	2	2	46	10768	5306	98.39	2.93	mesophilic	multicellular	13.74050972	NA	
2863357390	Saccharothrix violaceirubra DSM 45084	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae		Saccharothrix violaceirubra	16363		7354386	6612397	4738758	7026	67.85	6915	71.3	4	4	4	58	7830	3405	99.51	2.13	mesophilic	unicellular	9.070000423	NA	
2509276059	Bernardetia litoralis DSM 6794	Bacteroidota	Bacteroidia	Cytophagales	Bernardetiaceae	Bernardetia	Bernardetia litoralis	6580	"Aquatic, Marine, Sea water"	4919337	4181534	1331630	4090	67.82	4030	30.67	3	3	3	48	1179	280	100	0.55	mesophilic	unicellular	1.378030083	NA	
2784132177	Couchioplanes caeruleus DSM 43634	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae		Couchioplanes caeruleus	4299	Soil	8428293	7497897	5360096	7724	67.81	7634	71.07	3	3	3	61	10305	4679	100	2.37	mesophilic	unicellular	12.95237114	NA	
2861391593	Rhabdobacter roseus DSM 105074	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae		Rhabdobacter roseus	16161		6917964	6136814	3399987	5845	67.78	5787	53.96	3	1	1	40	3614	1120	99.69	0.74	mesophilic	unicellular	3.104980609	NA	
2596583624	Ohtaekwangia kribbensis DSM 25221	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae		Ohtaekwangia kribbensis	8901		7410016	6694646	2976439	6197	67.77	6141	43.75	3	3	3	42	2502	739	99.84	1.19	mesophilic	unicellular	2.6821019	NA	
2634166352	Frankia irregularis DSM 45899	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia irregularis	1555		9537992	8182537	5842130	7873	67.66	7790	70.95	2	4	2	47	12437	5908	99.46	3.62	mesophilic	multicellular	5.548005341	NA	
2734482288	Kordia periserrulae DSM 25731	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Kordia	Kordia periserrulae	12296		4725576	4212065	1564520	4128	67.64	4075	36.24	1	1	1	44	1217	339	99.59	2.15	mesophilic	unicellular	1.111407901	NA	
2515154133	Spirosoma luteum DSM 19990	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma luteum	6838	"Permafrost sediment, Soil"	6613584	5865098	3035674	5791	67.57	5743	50.73	4	3	3	37	3447	1045	99.4	0.45	mesophilic	unicellular	10.64247351	NA	
2795385470	Labedaea rhizosphaerae DSM 45361	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae		Labedaea rhizosphaerae	14028		8317180	7625473	5403253	7820	67.56	7720	70.44	1	2	1	59	8679	3926	99.29	0.89	mesophilic	unicellular	10.30237066	NA	
2505679030	"Runella slithyformis LSU4, DSM 19594"	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Runella	Runella slithyformis	6452	"Aquatic, Fresh water, Lake"	6919729	6181799	2934989	6025	67.52	5974	46.42	2	2	2	43	2957	791	100	0.6	psychrophilic	unicellular	3.271901591	NA	
2863340477	Actinophytocola algeriensis CECT 8960	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae		Actinophytocola algeriensis	4795		9733683	8878973	6309145	9255	67.52	9141	70.61	2	1	1	58	11545	5493	98.4	1.95	mesophilic	unicellular	12.33084949	NA	
2861373631	Aureibacter tunicatorum DSM 26174	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae		Aureibacter tunicatorum	16157		6135302	5488100	2091108	5232	67.49	5092	37.02	2	2	2	120	1676	448	97.97	3.42	mesophilic	unicellular	10.52162456	NA	
2863389319	Kitasatospora kifunensis DSM 41654	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora kifunensis	16366	Soil	9567486	8403490	6031108	8364	67.48	8174	71.33	9	9	9	77	9762	4096	99.47	1.32	mesophilic	unicellular	3.432156751	NA	
2770939509	Lentzea flaviverrucosa DSM 44664	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae	Lentzea	Lentzea flaviverrucosa	2716		9468454	8682146	6051229	9045	67.46	8951	69.25	1	3	1	70	8956	3857	98.47	1.16	mesophilic	unicellular	8.024824558	NA	
2693429886	Myxococcus fulvus DSM 16525	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus fulvus	11484	Soil	10824667	9885781	6938496	8659	67.46	8574	70	1	1	1	77	14822	7329	99.35	0.65	mesophilic	multicellular	6.648399447	NA	
2818991444	Filimonas endophytica 3197	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		Filimonas endophytica	14448		6968812	6405512	3020688	5657	67.44	5584	46.5	1	1	1	65	2836	902	100	0.99	mesophilic	unicellular	1.707777284	NA	
2503982035	Oscillatoria nigro-viridis PCC 7112	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	Oscillatoria nigro-viridis	6418	Soil	8272254	6810801	3181853	7006	67.43	6925	45.78	2	2	2	71	5850	1915	99.78	0.22	mesophilic	multicellular	8.080925809	NA	
2619619035	Niabella drilacis DSM 25811	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	Niabella drilacis	9441		6099002	5351021	2599173	5178	67.4	5122	47.77	3	1	1	44	2658	951	100	0.17	mesophilic	unicellular	2.276436833	NA	
2724679919	Actinoplanes cyaneus DSM 46137	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae	Actinoplanes	Actinoplanes cyaneus	12045	Soil	10415660	9241983	6596595	9292	67.39	9175	70.98	6	1	1	76	11230	4923	99.47	2.03	mesophilic	unicellular	3.354592708	NA	
2738541283	Pedobacter sp. OK701	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. OK701	12315		7222293	6634859	2748676	6133	67.37	6058	40.71	1	1	1	57	2224	609	99.84	1.44	mesophilic	unicellular	1.053540947	NA	
2630968263	Aquimarina sp. Mar_2010_214	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	Aquimarina sp. Mar_2010_214	9690		5982454	5291887	1777745	5319	67.31	5239	32.81	3	3	3	53	1421	415	99.62	1.79	mesophilic	unicellular	3.066220616	NA	
2524023163	Dyadobacter alkalitolerans DSM 23607	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	Dyadobacter alkalitolerans	7274	Sand	6289315	5731753	2666820	5579	67.29	5528	45.67	4	3	3	35	2132	590	100	0	mesophilic	unicellular	2.216445641	NA	
2861514905	Flammeovirga kamogawensis DSM 26273	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Flammeovirga	Flammeovirga kamogawensis	16170		6860440	6094217	1991174	5400	67.26	5303	31.82	1	3	1	76	1724	402	98.51	1.32	mesophilic	unicellular	1.878731449	NA	
2515154087	Frankia discariae BCU110501	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia discariae	6827	"Host, Plant symbiont, Soil"	7891711	6694486	4873065	6839	67.26	6742	72.39	2	2	2	47	11573	5833	100	1.09	mesophilic	multicellular	6.467635718	NA	
2540341245	Sporocytophaga myxococcoides DSM 11118	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga	Sporocytophaga myxococcoides	7663	Soil	6426282	5715660	2121168	5286	67.2	5214	36.19	4	4	4	58	1895	465	100	1.49	mesophilic	unicellular	6.222798781	NA	
2556921666	Crocinitomix catalasitica ATCC 23190	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	Crocinitomix catalasitica	8003	Sea sand	4622888	4175417	1444717	4128	67.18	4061	34.08	1	2	1	42	1112	288	100	0.54	mesophilic	unicellular	5.388977997	NA	
2510065062	Actinospica robiniae DSM 44927	Actinobacteriota	Actinobacteria	Streptomycetales	Catenulisporaceae		Actinospica robiniae	6624	Soil	9918887	8699766	6149405	8726	67.18	8657	70.26	4	4	4	55	8901	3609	100	4.74	mesophilic	unicellular	4.882592967	NA	
2852016966	Micromonospora polyrhachis DSM 45886	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae	Micromonospora	Micromonospora polyrhachis	4642		7152484	6402622	4457959	6468	67.15	6374	69.23	3	3	3	51	8978	4103	99.47	2.63	mesophilic	unicellular	7.375390077	NA	
2791355015	Rhodopirellula bahusiensis SWK21	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula bahusiensis	13813		7784002	6960384	3901741	6189	67.14	6093	55.85	1	1	1	66	6308	2329	99.93	1.18	mesophilic	unicellular	5.289646321	NA	
2515154011	Longispora albida DSM 44784	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae		Longispora albida	6797	Soil	6821241	6207963	4392829	6439	67.14	6362	70.29	5	1	1	56	7229	3143	100	2.37	mesophilic	unicellular	3.830687908	NA	
2861697045	Prosthecobacter dejongeii DSM 12251	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Prosthecobacter dejongeii	16204		5995932	5453333	3100374	4923	67.13	4857	56.44	1	2	1	50	5485	2010	100	1.13	mesophilic	unicellular	3.215060538	6	"Hedlund BP et al, 1997 Antonie van Leeuwenhoek"
2596583535	Lentzea flava DSM 43885	Actinobacteriota	Actinobacteria	Corynebacteriales	Pseudonocardiaceae		Lentzea flava	8878	Soil	9746996	8948123	6218112	9350	67.1	9251	69.05	7	5	5	68	9809	4248	99.03	1.93	mesophilic	unicellular	2.644194561	NA	
2784132108	Micromonospora sp. Llam0	Actinobacteriota	Actinobacteria	Corynebacteriales	Micromonosporaceae	Micromonospora	Micromonospora sp. Llam0	13413		8899775	8008464	5686284	8041	67.09	7942	70.63	2	2	2	45	12216	5943	99.47	3.51	mesophilic	unicellular	10.73418685	NA	
